,note,category_idx,category_name,season
105,black locust,4,white_flowers,"[0, 2, 3]"
106,black spruce,8,woods_and_mosses,"[2, 3]"
107,blackberry,2,fruits_vegetables_and_nuts,"[0, 2]"
108,blackberry blossom,3,flowers,"[0, 1, 2, 3]"
109,blackberry leaf,5,greens_herbs_and_fougeres,"[1, 2]"
110,blackthorn,2,fruits_vegetables_and_nuts,"[0, 2]"
111,blackwood,8,woods_and_mosses,"[2, 3]"
112,blood,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
113,blood orange,1,citrus_smells,"[0, 1]"
114,blue lilies,3,flowers,"[0, 1, 2, 3]"
115,blue margarita,11,beverages,"[0, 1, 2, 3]"
116,blue poppy,3,flowers,"[0, 1, 2, 3]"
117,blueberry,2,fruits_vegetables_and_nuts,"[0, 2]"
118,boisiris,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
119,borage,5,greens_herbs_and_fougeres,"[1, 2]"
120,borneol,5,greens_herbs_and_fougeres,"[1, 2]"
121,boronia,4,white_flowers,"[0, 2, 3]"
122,bougainvillea,3,flowers,"[0, 1, 2, 3]"
123,bourbon whiskey,11,beverages,"[0, 1, 2, 3]"
124,boysenberry,2,fruits_vegetables_and_nuts,"[0, 2]"
125,bran,5,greens_herbs_and_fougeres,"[1, 2]"
126,brazil nut,2,fruits_vegetables_and_nuts,"[0, 2]"
127,brazilian rosewood,8,woods_and_mosses,"[2, 3]"
128,bread,7,sweets_and_gourmand_smells,[3]
129,bread flower,3,flowers,"[0, 1, 2, 3]"
130,breu-branco,9,resins_and_balsams,"[2, 3]"
131,brick,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
132,brioche,7,sweets_and_gourmand_smells,[3]
133,bromelia,3,flowers,"[0, 1, 2, 3]"
134,brown scotch tape,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
135,brown sugar,7,sweets_and_gourmand_smells,[3]
136,bubble gum,7,sweets_and_gourmand_smells,[3]
137,buchu or agathosma,5,greens_herbs_and_fougeres,"[1, 2]"
138,buddha wood,8,woods_and_mosses,"[2, 3]"
139,buddleia,3,flowers,"[0, 1, 2, 3]"
140,bulrush,5,greens_herbs_and_fougeres,"[1, 2]"
141,burdock,5,greens_herbs_and_fougeres,"[1, 2]"
142,burnt match,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
143,bushman candle,9,resins_and_balsams,"[2, 3]"
144,butomus umbellatus,3,flowers,"[0, 1, 2, 3]"
145,butter,7,sweets_and_gourmand_smells,[3]
146,buttercup,3,flowers,"[0, 1, 2, 3]"
147,butterscotch,7,sweets_and_gourmand_smells,[3]
148,buxus,8,woods_and_mosses,"[2, 3]"
149,cabreuva,8,woods_and_mosses,"[2, 3]"
150,cacao pod,6,spices,"[2, 3]"
151,cactus,5,greens_herbs_and_fougeres,"[1, 2]"
152,cade oil,9,resins_and_balsams,"[2, 3]"
153,caipirinha,11,beverages,"[0, 1, 2, 3]"
154,calamansi,1,citrus_smells,"[0, 1]"
155,calamus,5,greens_herbs_and_fougeres,"[1, 2]"
156,calone,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
157,calycanthus,5,greens_herbs_and_fougeres,"[1, 2]"
158,calypsone,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
159,cambodian oud,8,woods_and_mosses,"[2, 3]"
160,camellia,3,flowers,"[0, 1, 2, 3]"
161,campari,11,beverages,"[0, 1, 2, 3]"
162,camphor,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
163,canadian balsam,8,woods_and_mosses,"[2, 3]"
164,candied fruits,7,sweets_and_gourmand_smells,[3]
165,candied ginger,7,sweets_and_gourmand_smells,[3]
166,candied orange,7,sweets_and_gourmand_smells,[3]
167,candies,7,sweets_and_gourmand_smells,[3]
168,canele,7,sweets_and_gourmand_smells,[3]
169,cannabis,5,greens_herbs_and_fougeres,"[1, 2]"
170,cannonball flower,3,flowers,"[0, 1, 2, 3]"
171,caoutchouc,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
172,cappuccino,11,beverages,"[0, 1, 2, 3]"
173,carambola (star fruit),2,fruits_vegetables_and_nuts,"[0, 2]"
174,carambola blossom,3,flowers,"[0, 1, 2, 3]"
175,caramel,7,sweets_and_gourmand_smells,[3]
176,caraway,6,spices,"[2, 3]"
177,cardamom,6,spices,"[2, 3]"
178,carissa,4,white_flowers,"[0, 2, 3]"
179,carnation,3,flowers,"[0, 1, 2, 3]"
180,carnation leaves,5,greens_herbs_and_fougeres,"[1, 2]"
181,carob tree,8,woods_and_mosses,"[2, 3]"
182,carrot,2,fruits_vegetables_and_nuts,"[0, 2]"
183,carrot seeds,10,musk_amber_animalic_smells,"[2, 3]"
184,cascalone,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
185,cashew,2,fruits_vegetables_and_nuts,"[0, 2]"
186,cashmeran,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
187,cashmir wood,8,woods_and_mosses,"[2, 3]"
188,cassia,6,spices,"[2, 3]"
189,cassowary fruit,2,fruits_vegetables_and_nuts,"[0, 2]"
190,castoreum,10,musk_amber_animalic_smells,"[2, 3]"
